"score" "frequency" "penalty" "score_prev" "duration" "trial" "item" "subject"
"671" 7.35436233042148 -1.31982386540689 0 -0.133839039902923 -0.0388112049401768 253.976427180486 "hobo" "s1"
"674" 6.67329796776765 5.42790349657511 0 -0.213966182076443 -0.252301324553737 258.976427180486 "idee" "s1"
"675" 6.78332520060396 1.10674720736814 0 -0.332710162277913 0.00602389032980355 262.976427180486 "lucifer" "s1"
"676" 6.86484777797086 -0.379816606915424 0 -0.245183878732443 -0.350891988437227 263.976427180486 "pook" "s1"
"678" 7.19368581839511 -1.83064948917289 0 -0.00475012459796265 0.0144202452827029 267.976427180486 "wrevel" "s1"
"682" 6.8351845861473 2.67506861784355 0 0.0224803677316467 -0.303824477579247 275.976427180486 "boer" "s1"
"683" 6.86797440897029 -2.59278954121978 0 -0.0729164709401031 -0.334165194631916 279.976427180486 "ragout" "s1"
"684" 6.83087423464618 0.597098746775167 0 -0.100951173058083 -0.755153002480586 282.976427180486 "pin" "s1"
"685" 6.74405918631135 3.04403879863932 0 -0.160534670366113 -0.281096226501687 286.976427180486 "maan" "s1"
"687" 7.01301578963963 -1.10471248578995 0 -0.210678507882253 0.194509658292723 292.976427180486 "pancreas" "s1"
"692" 6.84694313958538 -0.411565305230003 0 0.254939149420227 -0.182726380873406 -253.023572819514 "helper" "s1"
"695" 7.18841273649695 -2.59278954121978 0 0.126106277577257 0.106990280276164 -243.023572819514 "maatschap" "s1"
"705" 6.83840520084734 -2.74694022104704 0 -0.0209084653845526 0.414295623912083 -214.023572819514 "hevigheid" "s1"
"720" 7.01750614294126 -1.59426071110865 0 -0.120753800354263 0.341049646467373 -192.023572819514 "frisheid" "s1"
"725" 7.27378631784489 -1.20649518009989 0 0.0756350136511275 0.373099867473814 -179.023572819514 "graafschap" "s1"
"728" 7.07326971745971 3.94265904813193 1 -0.104880451197973 0.0978018542217534 -171.023572819514 "personen" "s1"
"734" 6.74641212857337 -3.1524053291552 0 -0.239537336344233 0.00433612621608326 -157.023572819514 "kroepoek" "s1"
"742" 6.98749024700099 -2.74694022104704 0 -0.0484331387746426 0.056979859701503 -137.023572819514 "schenker" "s1"
"747" 7.00488198971286 1.58379311923929 0 0.0498325002212674 -0.382718420048906 -131.023572819514 "bijl" "s1"
"749" 7.34923082461333 0.344102232311275 1 0.136211299435457 0.0026455087381736 -124.023572819514 "flanken" "s1"
"750" 6.73815249459596 2.19945280432086 0 0.227082194917267 0.0310043732982432 -122.023572819514 "alcohol" "s1"
"754" 6.88550967003482 0.444906931433241 1 0.061567756439687 0.100874053258723 -115.023572819514 "stuipen" "s1"
"758" 6.86484777797086 2.17425651040197 1 0.398039993060897 -0.184765117563257 -105.023572819514 "polsen" "s1"
"759" 6.87419849545329 3.38718062646246 0 -0.163661301365543 -0.156594240596557 -104.023572819514 "rechter" "s1"
"762" 7.04577657687951 0.351649437946659 0 -0.00297076469788315 0.220699990544913 -96.0235728195142 "spons" "s1"
"767" 6.91373735065968 4.42356386384167 1 0.140070817927628 -0.164562410245737 -81.0235728195142 "spullen" "s1"
"768" 6.80461452006262 1.58598370061911 1 -0.397825693694033 -0.370357323225337 -77.0235728195142 "rangen" "s1"
"771" 7.07326971745971 2.21357068586665 0 -0.136883182284153 -0.135003608004187 -73.0235728195142 "podium" "s1"
"772" 7.06561336359772 0.265321354458162 1 0.282709305083227 -0.111969960126567 -71.0235728195142 "doornen" "s1"
"773" 6.91373735065968 0.0564201598594947 0 0.037104284261317 0.077599146904233 -70.0235728195142 "smart" "s1"
"776" 7.04925484125584 0.916621425082607 0 0.0706926642166872 0.209755968865593 -65.0235728195142 "stadion" "s1"
"777" 6.84906628263346 1.75840962965884 1 0.103189431130507 0.108513509816683 -63.0235728195142 "robotten" "s1"
"787" 7.15617663748062 0.321112714086577 0 0.0328252875740374 -0.150659505076747 -40.0235728195142 "zwerm" "s1"
"796" 6.95272864462487 -2.59278954121978 0 -0.111794058982793 0.262011661072663 -24.0235728195142 "slachterij" "s1"
"799" 6.90775527898214 1.51338947864932 0 -0.348909893492023 0.100874053258723 -16.0235728195142 "balans" "s1"
"805" 6.89162589705225 -1.24286282427077 0 -0.189032641107563 -0.203303238562166 -2.02357281951419 "snauw" "s1"
"807" 6.98007594056176 -0.777499574581533 0 -0.329008739174723 -0.287860626590227 4.97642718048581 "kilt" "s1"
"811" 7.22983877815125 0.654257160615115 1 0.0557173427615174 -0.310744920423817 8.97642718048581 "peren" "s1"
"816" 7.03702761468628 -2.23611459728105 0 0.0582288551741774 0.512455388384323 20.9764271804858 "nobelheid" "s1"
"817" 6.94889722231331 0.585264289128164 1 0.0959691831570169 0.0110701583974233 24.9764271804858 "reptielen" "s1"
"824" 6.93244789157251 0.0564201598594947 0 0.113527495370398 -0.0494496031452263 46.9764271804858 "drukker" "s1"
"825" 7.21817683840341 2.53541712592227 1 -0.0960611877638931 -0.0728952217199064 47.9764271804858 "geuren" "s1"
"827" 6.88755257166462 4.2357679111715 1 0.118263100116237 -0.226437813963827 53.9764271804858 "koningen" "s1"
